epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.698,1.43738,2.32601,1.1822,0.77317,0.18817,0.44838,0.26338,1.36925,2.5612,1.10627,0.000411325,0.000411325,0.000411325
2,68.6124,1.41407,1.58263,1.18567,0.50005,0.59816,0.59178,0.34976,1.37659,1.52958,1.18867,0.000819794,0.000819794,0.000819794
3,100.732,1.4247,1.48792,1.19112,0.74029,0.60845,0.64747,0.39099,1.40246,1.37987,1.2012,0.00122001,0.00122001,0.00122001
4,131.397,1.38379,1.36426,1.18237,0.6193,0.66906,0.65205,0.38366,1.36961,1.27104,1.18448,0.00121287,0.00121287,0.00121287
5,162.508,1.38049,1.298,1.18557,0.59773,0.60305,0.65167,0.39876,1.32597,1.28939,1.16014,0.0012005,0.0012005,0.0012005
6,192.87,1.36188,1.24399,1.16379,0.73488,0.7069,0.76113,0.47797,1.32138,1.10709,1.14605,0.00118812,0.00118812,0.00118812
7,223,1.33819,1.15759,1.16254,0.79319,0.61889,0.70615,0.42879,1.30013,1.08226,1.15392,0.00117575,0.00117575,0.00117575
8,253.027,1.31887,1.11838,1.14261,0.78522,0.72259,0.79061,0.48915,1.28927,0.96069,1.13229,0.00116337,0.00116337,0.00116337
9,283.409,1.29239,1.05089,1.13937,0.74738,0.73844,0.82601,0.51293,1.30381,0.96799,1.14913,0.001151,0.001151,0.001151
10,316.613,1.30733,1.05606,1.14272,0.7326,0.72035,0.76401,0.48294,1.26687,0.97325,1.11959,0.00113863,0.00113863,0.00113863
11,346.667,1.29086,1.02758,1.13632,0.79926,0.78901,0.84533,0.54498,1.2365,0.90938,1.11759,0.00112625,0.00112625,0.00112625
12,376.823,1.28074,1.00148,1.13616,0.79326,0.7552,0.84343,0.52968,1.27348,0.92935,1.14604,0.00111388,0.00111388,0.00111388
13,407.181,1.26305,0.97455,1.12569,0.78537,0.76246,0.82047,0.49618,1.26426,0.94218,1.13313,0.0011015,0.0011015,0.0011015
14,437.077,1.27187,0.96719,1.13623,0.76682,0.77392,0.8503,0.55441,1.20067,0.84944,1.098,0.00108913,0.00108913,0.00108913
15,466.788,1.24789,0.94319,1.12383,0.74061,0.78206,0.83651,0.53462,1.24358,0.85294,1.11528,0.00107675,0.00107675,0.00107675
16,498.805,1.26716,0.94334,1.12616,0.83733,0.76286,0.86573,0.55633,1.22446,0.83136,1.11249,0.00106437,0.00106437,0.00106437
17,529.941,1.24617,0.89923,1.11772,0.77635,0.78457,0.86142,0.55194,1.24965,0.81985,1.13025,0.001052,0.001052,0.001052
18,559.963,1.24072,0.89872,1.12648,0.76,0.81292,0.85992,0.56656,1.20106,0.81934,1.09794,0.00103962,0.00103962,0.00103962
19,590.005,1.22798,0.89274,1.11121,0.78406,0.80462,0.85224,0.54712,1.22667,0.82725,1.10235,0.00102725,0.00102725,0.00102725
20,620.118,1.21828,0.88482,1.1109,0.72001,0.78379,0.81838,0.53739,1.20147,0.8608,1.09834,0.00101488,0.00101488,0.00101488
21,650.05,1.231,0.86976,1.10224,0.78867,0.77381,0.82986,0.54073,1.1988,0.82531,1.1003,0.0010025,0.0010025,0.0010025
22,680.046,1.22062,0.86079,1.11543,0.78342,0.84295,0.8851,0.57591,1.20748,0.82271,1.09717,0.000990125,0.000990125,0.000990125
23,712.217,1.21825,0.8502,1.10573,0.81481,0.77067,0.86363,0.56709,1.2173,0.83552,1.11366,0.00097775,0.00097775,0.00097775
24,743.103,1.20943,0.84458,1.10074,0.75887,0.81535,0.86024,0.56444,1.21556,0.76721,1.09757,0.000965375,0.000965375,0.000965375
25,773.65,1.20641,0.81542,1.10466,0.84028,0.78716,0.88141,0.5756,1.18636,0.79221,1.10255,0.000953,0.000953,0.000953
26,803.678,1.21413,0.83524,1.10248,0.79635,0.82696,0.896,0.57604,1.20754,0.75012,1.09845,0.000940625,0.000940625,0.000940625
27,834.028,1.18645,0.80702,1.08807,0.83949,0.81085,0.88624,0.58174,1.21393,0.7701,1.10711,0.00092825,0.00092825,0.00092825
28,864.478,1.20358,0.83283,1.10021,0.8227,0.82367,0.88488,0.56751,1.2174,0.77141,1.11045,0.000915875,0.000915875,0.000915875
29,897.474,1.17923,0.79881,1.09025,0.84892,0.78718,0.88728,0.58908,1.18666,0.75254,1.09454,0.0009035,0.0009035,0.0009035
30,928.964,1.18185,0.80027,1.09115,0.73256,0.81271,0.84734,0.54499,1.21823,0.816,1.09415,0.000891125,0.000891125,0.000891125
31,959.825,1.17962,0.79225,1.08956,0.81942,0.80794,0.88013,0.57743,1.18624,0.71853,1.08996,0.00087875,0.00087875,0.00087875
32,990.232,1.15059,0.77028,1.07629,0.78101,0.82762,0.88368,0.58486,1.17559,0.76586,1.09186,0.000866375,0.000866375,0.000866375
33,1020.79,1.17858,0.7788,1.08943,0.84969,0.7936,0.87454,0.58635,1.15342,0.78093,1.0685,0.000854,0.000854,0.000854
34,1050.85,1.16066,0.76652,1.08125,0.79214,0.80572,0.87057,0.58179,1.17797,0.74783,1.07579,0.000841625,0.000841625,0.000841625
35,1083.45,1.16131,0.76612,1.0781,0.84268,0.80006,0.87973,0.58076,1.18741,0.72655,1.09249,0.00082925,0.00082925,0.00082925
36,1113.75,1.15248,0.74768,1.07811,0.78602,0.85295,0.8867,0.59291,1.16791,0.73765,1.07992,0.000816875,0.000816875,0.000816875
37,1143.8,1.15584,0.74628,1.07619,0.84014,0.83037,0.89444,0.59448,1.17836,0.72641,1.09042,0.0008045,0.0008045,0.0008045
38,1173.81,1.14808,0.75265,1.07472,0.85941,0.82102,0.90973,0.59911,1.16734,0.69394,1.08202,0.000792125,0.000792125,0.000792125
39,1204.54,1.14453,0.74449,1.0784,0.82211,0.86658,0.90203,0.59671,1.15371,0.71266,1.08028,0.00077975,0.00077975,0.00077975
40,1234.81,1.12811,0.73681,1.06348,0.78664,0.84135,0.89681,0.5873,1.18035,0.72262,1.09122,0.000767375,0.000767375,0.000767375
41,1265.62,1.11865,0.70708,1.06708,0.82644,0.86789,0.91021,0.59725,1.16051,0.71428,1.07831,0.000755,0.000755,0.000755
42,1297.79,1.13706,0.72558,1.075,0.856,0.82268,0.89997,0.59313,1.17606,0.70969,1.08566,0.000742625,0.000742625,0.000742625
43,1327.95,1.10812,0.72895,1.05631,0.81442,0.85703,0.90515,0.6034,1.15243,0.69478,1.07475,0.00073025,0.00073025,0.00073025
44,1358.51,1.12956,0.7275,1.06824,0.81082,0.85857,0.90541,0.59443,1.16045,0.70988,1.08386,0.000717875,0.000717875,0.000717875
45,1388.9,1.11491,0.69988,1.05691,0.82298,0.85982,0.9098,0.60622,1.16072,0.67505,1.07774,0.0007055,0.0007055,0.0007055
46,1420.27,1.12133,0.70171,1.0604,0.82783,0.86188,0.90228,0.60478,1.17232,0.69362,1.07683,0.000693125,0.000693125,0.000693125
47,1452.02,1.10685,0.69571,1.05099,0.81093,0.84887,0.89345,0.59469,1.15922,0.70134,1.08325,0.00068075,0.00068075,0.00068075
48,1483.97,1.09637,0.68195,1.06091,0.8289,0.81516,0.90325,0.6071,1.13127,0.67976,1.07039,0.000668375,0.000668375,0.000668375
49,1514.25,1.11075,0.68557,1.05952,0.87844,0.83766,0.90205,0.61051,1.14007,0.68204,1.06914,0.000656,0.000656,0.000656
50,1544.71,1.08044,0.67504,1.04517,0.79118,0.86202,0.88914,0.59766,1.15984,0.67498,1.08497,0.000643625,0.000643625,0.000643625
51,1574.54,1.08755,0.68017,1.05211,0.81509,0.81226,0.88362,0.59473,1.14697,0.6958,1.07471,0.00063125,0.00063125,0.00063125
52,1606.1,1.09811,0.6714,1.04851,0.83341,0.84769,0.90453,0.61176,1.13638,0.68505,1.05855,0.000618875,0.000618875,0.000618875
53,1636.53,1.07911,0.67094,1.05111,0.8258,0.88546,0.91988,0.62204,1.15168,0.6676,1.0768,0.0006065,0.0006065,0.0006065
54,1666.92,1.09584,0.67377,1.04682,0.8461,0.84469,0.91643,0.60133,1.17994,0.69533,1.08388,0.000594125,0.000594125,0.000594125
55,1698.52,1.07784,0.66617,1.05299,0.80944,0.86047,0.91587,0.60729,1.16134,0.66948,1.08461,0.00058175,0.00058175,0.00058175
56,1728.66,1.08762,0.66272,1.05141,0.85218,0.84996,0.92203,0.61682,1.14502,0.67226,1.06839,0.000569375,0.000569375,0.000569375
57,1758.58,1.06267,0.64023,1.03647,0.83906,0.87514,0.91495,0.61956,1.13347,0.65569,1.06116,0.000557,0.000557,0.000557
58,1789.02,1.0777,0.65067,1.0381,0.84241,0.83518,0.91487,0.62197,1.13337,0.66187,1.0649,0.000544625,0.000544625,0.000544625
59,1819.66,1.05854,0.63986,1.03423,0.81507,0.88786,0.91089,0.61891,1.1336,0.66329,1.06628,0.00053225,0.00053225,0.00053225
60,1849.68,1.07126,0.65178,1.03627,0.83751,0.84428,0.89405,0.60484,1.12918,0.69184,1.06927,0.000519875,0.000519875,0.000519875
61,1881.45,1.05913,0.65225,1.03268,0.87102,0.83002,0.91743,0.62924,1.12888,0.65595,1.0644,0.0005075,0.0005075,0.0005075
62,1911.66,1.0704,0.64822,1.04165,0.87295,0.81949,0.90507,0.61586,1.13276,0.66079,1.06955,0.000495125,0.000495125,0.000495125
